Zona;Transecto;Inicio;Final;Sp;Hora;Dist_Perp;Alt_Suelo;Sustrato;Sutrato2;Ta_corporal;Ta_sustrato;Ta_ambiente;LRC;Actividad;Actividad2;Observaciones;Dia;Mes;Año
perturbada;3;19:51;21:56;sp2;19:54;450;40;Hoja;Planta;14.90;14.70;17.00;25.30;cantando;cantando;;20;junio;2018
perturbada;3;19:51;21:56;sp5;20:04;313;24;Hoja;Planta;14.60;14.50;16.50;11.50;Perchado;Inactiva;;20;junio;2018
perturbada;3;19:51;21:56;sp2;20:20;583;52;Hoja;Planta;15.60;15.30;16.00;27.40;Perchado;Inactiva;;20;junio;2018
perturbada;3;19:51;21:56;sp5;20:30;120;0;Suelo;Suelo;17.10;16.50;15.50;22.30;Suelo;Inactiva;;20;junio;2018
perturbada;3;19:51;21:56;sp5;20:47;227;0;Suelo;Suelo;17.20;18.00;15.50;11.80;Suelo;Inactiva;;20;junio;2018
perturbada;3;19:51;21:56;sp5;20:56;282;0;Suelo;Suelo;;;15.50;;Saltando;Saltando;;20;junio;2018
perturbada;3;19:51;21:56;sp8;20:57;185;0;Hoja;Planta;;;15.50;10.00;Perchado;Inactiva;;20;junio;2018
perturbada;3;19:51;21:56;sp2;21:03;570;52;Hoja;Planta;13.10;13.20;15.00;;cantando;cantando;;20;junio;2018
perturbada;3;19:51;21:56;sp8;21:09;69;;Hoja;Planta;;;15.00;10.00;Perchado;Inactiva;;20;junio;2018
perturbada;3;19:51;21:56;sp7;21:15;490;28;Hoja;Planta;15.40;15.50;15.00;;Perchado;Inactiva;;20;junio;2018
perturbada;3;19:51;21:56;sp2;21:39;80;30;Hoja;Planta;15.90;16.20;15.00;;Perchado;Inactiva;;20;junio;2018
perturbada;3;19:51;21:56;sp2;21:43;141;43;Axila;Planta;14.00;13.80;15.00;;Perchado;Inactiva;;20;junio;2018
perturbada;3;19:51;21:56;sp2;21:50;221;19;Hoja;Planta;15.10;15.10;15.00;24.10;Perchado;Inactiva;;20;junio;2018
perturbada;7;19:35;21:17;sp2;20:18;283;0;Suelo;Suelo;18.30;18.80;15.50;42.90;Perchado;Inactiva;;21;junio;2018
perturbada;7;19:35;21:17;sp2;20:45;36;30;Hoja;Planta;13.70;13.90;15.50;33.60;Perchado;Inactiva;;21;junio;2018
